Repository Name,Repository Username,Stars Received,Repository URL
babel,babel,42100, https://github.com/babel/babel
swc,swc-project,26900, https://github.com/swc-project/swc
nylas-mail,nylas,24700, https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,21100, https://github.com/electron-react-boilerplate/electron-react-boilerplate
ava,avajs,20300, https://github.com/avajs/ava
electron-vue,SimulatedGREG,15300, https://github.com/SimulatedGREG/electron-vue
front-end-guide,grab,14800, https://github.com/grab/front-end-guide
babel-handbook,jamiebuilds,11600, https://github.com/jamiebuilds/babel-handbook
grommet,grommet,8200, https://github.com/grommet/grommet
htm,developit,8200, https://github.com/developit/htm
twin.macro,ben-rogerson,7100, https://github.com/ben-rogerson/twin.macro
generator-angular-fullstack,angular-fullstack,6100, https://github.com/angular-fullstack/generator-angular-fullstack
documentation,documentationjs,5700, https://github.com/documentationjs/documentation
nwb,insin,5600, https://github.com/insin/nwb
astexplorer,fkling,5400, https://github.com/fkling/astexplorer
thinkjs,thinkjs,5300, https://github.com/thinkjs/thinkjs
poi,egoist,5300, https://github.com/egoist/poi
create-react-library,transitive-bullshit,4800, https://github.com/transitive-bullshit/create-react-library
react,duxianwei520,4700, https://github.com/duxianwei520/react
babel-loader,babel,4700, https://github.com/babel/babel-loader
