Repository Name,Repository Username,Stars Received,Repository URL
the-art-of-command-line,jlevy,135000, https://github.com/jlevy/the-art-of-command-line
storybook,storybookjs,77900, https://github.com/storybookjs/storybook
mermaid,mermaid-js,56300, https://github.com/mermaid-js/mermaid
tldr,tldr-pages,43800, https://github.com/tldr-pages/tldr
docusaurus,facebook,43600, https://github.com/facebook/docusaurus
cheat.sh,chubin,35000, https://github.com/chubin/cheat.sh
wtfpython,satwikkansal,32500, https://github.com/satwikkansal/wtfpython
devdocs,freeCodeCamp,31200, https://github.com/freeCodeCamp/devdocs
professional-programming,charlax,23200, https://github.com/charlax/professional-programming
docz,doczjs,23200, https://github.com/doczjs/docz
docsify,docsifyjs,23100, https://github.com/docsifyjs/docsify
wiki,requarks,20600, https://github.com/requarks/wiki
chinese-programmer-wrong-pronunciation,shimohq,19900, https://github.com/shimohq/chinese-programmer-wrong-pronunciation
mkdocs,mkdocs,16200, https://github.com/mkdocs/mkdocs
tui.editor,nhn,15800, https://github.com/nhn/tui.editor
electron-vue,SimulatedGREG,15300, https://github.com/SimulatedGREG/electron-vue
jsdoc,jsdoc,13600, https://github.com/jsdoc/jsdoc
mkdocs-material,squidfunk,13400, https://github.com/squidfunk/mkdocs-material
editor.md,pandao,12900, https://github.com/pandao/editor.md
chinese-copywriting-guidelines,sparanoid,12600, https://github.com/sparanoid/chinese-copywriting-guidelines
