Repository Name,Repository Username,Stars Received,Repository URL
vscode,microsoft,145000, https://github.com/microsoft/vscode
TypeScript,microsoft,90200, https://github.com/microsoft/TypeScript
deno,denoland,88900, https://github.com/denoland/deno
angular,angular,87400, https://github.com/angular/angular
material-ui,mui,85700, https://github.com/mui/material-ui
ant-design,ant-design,85300, https://github.com/ant-design/ant-design
storybook,storybookjs,77900, https://github.com/storybookjs/storybook
mermaid,mermaid-js,56300, https://github.com/mermaid-js/mermaid
nest,nestjs,55800, https://github.com/nestjs/nest
ionic-framework,ionic-team,48900, https://github.com/ionic-team/ionic-framework
prettier,prettier,45300, https://github.com/prettier/prettier
DefinitelyTyped,DefinitelyTyped,43600, https://github.com/DefinitelyTyped/DefinitelyTyped
bun,oven-sh,40500, https://github.com/oven-sh/bun
react,typescript-cheatsheets,40400, https://github.com/typescript-cheatsheets/react
vuetify,vuetifyjs,36900, https://github.com/vuetifyjs/vuetify
esbuild,evanw,35100, https://github.com/evanw/esbuild
30-Days-Of-JavaScript,Asabeneh,34900, https://github.com/Asabeneh/30-Days-Of-JavaScript
react-hook-form,react-hook-form,34300, https://github.com/react-hook-form/react-hook-form
monaco-editor,microsoft,33600, https://github.com/microsoft/monaco-editor
taro,NervJS,32700, https://github.com/NervJS/taro
