Repository Name,Repository Username,Stars Received,Repository URL
the-book-of-secret-knowledge,trimstray,94800, https://github.com/trimstray/the-book-of-secret-knowledge
Awesome-Hacking,Hack-with-Github,63500, https://github.com/Hack-with-Github/Awesome-Hacking
cs-video-courses,Developer-Y,54400, https://github.com/Developer-Y/cs-video-courses
PayloadsAllTheThings,swisskyrepo,46800, https://github.com/swisskyrepo/PayloadsAllTheThings
caddy,caddyserver,46700, https://github.com/caddyserver/caddy
x64dbg,x64dbg,40300, https://github.com/x64dbg/x64dbg
mitmproxy,mitmproxy,30700, https://github.com/mitmproxy/mitmproxy
algo,trailofbits,27100, https://github.com/trailofbits/algo
nginxconfig.io,digitalocean,25500, https://github.com/digitalocean/nginxconfig.io
CheatSheetSeries,OWASP,23400, https://github.com/OWASP/CheatSheetSeries
hosts,StevenBlack,22800, https://github.com/StevenBlack/hosts
openzeppelin-contracts,OpenZeppelin,21900, https://github.com/OpenZeppelin/openzeppelin-contracts
setup-ipsec-vpn,hwdsl2,21500, https://github.com/hwdsl2/setup-ipsec-vpn
API-Security-Checklist,shieldfy,20700, https://github.com/shieldfy/API-Security-Checklist
security-guide-for-developers,FallibleInc,20700, https://github.com/FallibleInc/security-guide-for-developers
osquery,osquery,20200, https://github.com/osquery/osquery
macOS-Security-and-Privacy-Guide,drduh,20100, https://github.com/drduh/macOS-Security-and-Privacy-Guide
radare2,radareorg,17900, https://github.com/radareorg/radare2
matomo,matomo-org,17500, https://github.com/matomo-org/matomo
trivy,aquasecurity,16900, https://github.com/aquasecurity/trivy
