Repository Name,Repository Username,Stars Received,Repository URL
storybook,storybookjs,77900, https://github.com/storybookjs/storybook
nx,nrwl,17100, https://github.com/nrwl/nx
arc,diegohaz,2900, https://github.com/diegohaz/arc
vuesion,vuesion,2700, https://github.com/vuesion/vuesion
learnstorybook.com,chromaui,2400, https://github.com/chromaui/learnstorybook.com
React95,React95,2300, https://github.com/React95/React95
figma-html,BuilderIO,2200, https://github.com/BuilderIO/figma-html
jira-clone-angular,trungk18,2000, https://github.com/trungk18/jira-clone-angular
ReactiveTraderCloud,AdaptiveConsulting,1800, https://github.com/AdaptiveConsulting/ReactiveTraderCloud
react-atomic-design,danilowoz,1600, https://github.com/danilowoz/react-atomic-design
loki,oblador,1600, https://github.com/oblador/loki
next-boilerplate,pankod,1500, https://github.com/pankod/next-boilerplate
watching-you,jj811208,1400, https://github.com/jj811208/watching-you
ifme,ifmeorg,1400, https://github.com/ifmeorg/ifme
ts-monorepo,NiGhTTraX,1200, https://github.com/NiGhTTraX/ts-monorepo
snapchat-clone,TowhidKashem,985, https://github.com/TowhidKashem/snapchat-clone
vue-play,vue-play,977, https://github.com/vue-play/vue-play
flowbite-react,themesberg,905, https://github.com/themesberg/flowbite-react
storybook-deployer,storybook-eol,882, https://github.com/storybook-eol/storybook-deployer
lost-pixel,lost-pixel,880, https://github.com/lost-pixel/lost-pixel
