Repository Name,Repository Username,Stars Received,Repository URL
system-design-primer,donnemartin,217000, https://github.com/donnemartin/system-design-primer
tensorflow,tensorflow,173000, https://github.com/tensorflow/tensorflow
CS-Notes,CyC2018,163000, https://github.com/CyC2018/CS-Notes
awesome-python,vinta,162000, https://github.com/vinta/awesome-python
Python,TheAlgorithms,157000, https://github.com/TheAlgorithms/Python
free-programming-books-zh_CN,justjavac,102000, https://github.com/justjavac/free-programming-books-zh_CN
project-based-learning,practical-tutorials,96900, https://github.com/practical-tutorials/project-based-learning
transformers,huggingface,91600, https://github.com/huggingface/transformers
thefuck,nvbn,76700, https://github.com/nvbn/thefuck
django,django,69800, https://github.com/django/django
HelloGitHub,521xueweihan,67200, https://github.com/521xueweihan/HelloGitHub
pytorch,pytorch,65000, https://github.com/pytorch/pytorch
flask,pallets,62500, https://github.com/pallets/flask
core,home-assistant,59500, https://github.com/home-assistant/core
keras,keras-team,57800, https://github.com/keras-team/keras
ansible,ansible,57000, https://github.com/ansible/ansible
fastapi,tiangolo,56500, https://github.com/tiangolo/fastapi
scikit-learn,scikit-learn,53700, https://github.com/scikit-learn/scikit-learn
superset,apache,51300, https://github.com/apache/superset
leetcode,azl397985856,51000, https://github.com/azl397985856/leetcode
