Repository Name,Repository Username,Stars Received,Repository URL
metabase,metabase,32000, https://github.com/metabase/metabase
logseq,logseq,21500, https://github.com/logseq/logseq
penpot,penpot,21400, https://github.com/penpot/penpot
deeplearning4j,deeplearning4j,12900, https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11700, https://github.com/LightTable/LightTable
mal,kanaka,9200, https://github.com/kanaka/mal
awesomo,lk-geimfari,8900, https://github.com/lk-geimfari/awesomo
datascript,tonsky,5100, https://github.com/tonsky/datascript
reagent,reagent-project,4600, https://github.com/reagent-project/reagent
riemann,riemann,4200, https://github.com/riemann/riemann
compojure,weavejester,4000, https://github.com/weavejester/compojure
intellij-rainbow-brackets,izhangzhihao,4000, https://github.com/izhangzhihao/intellij-rainbow-brackets
clojure-style-guide,bbatsov,3900, https://github.com/bbatsov/clojure-style-guide
status-mobile,status-im,3600, https://github.com/status-im/status-mobile
ring,ring-clojure,3600, https://github.com/ring-clojure/ring
cider,clojure-emacs,3400, https://github.com/clojure-emacs/cider
babashka,babashka,3300, https://github.com/babashka/babashka
klipse,viebel,3000, https://github.com/viebel/klipse
Rich-Hickey-fanclub,tallesl,2900, https://github.com/tallesl/Rich-Hickey-fanclub
lein-figwheel,bhauman,2900, https://github.com/bhauman/lein-figwheel
