Repository Name,Repository Username,Stars Received,Repository URL
three.js,mrdoob,90600, https://github.com/mrdoob/three.js
react-three-fiber,pmndrs,22100, https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,21300, https://github.com/libgdx/libgdx
Babylon.js,BabylonJS,19800, https://github.com/BabylonJS/Babylon.js
tinyrenderer,ssloy,16600, https://github.com/ssloy/tinyrenderer
aframe,aframevr,15200, https://github.com/aframevr/aframe
3d-game-shaders-for-beginners,lettier,14900, https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,13700, https://github.com/FreeCAD/FreeCAD
cesium,CesiumGS,10200, https://github.com/CesiumGS/cesium
zdog,metafizzy,9700, https://github.com/metafizzy/zdog
3D-Machine-Learning,timzhang642,8800, https://github.com/timzhang642/3D-Machine-Learning
Open3D,isl-org,8400, https://github.com/isl-org/Open3D
blender,blender,8100, https://github.com/blender/blender
SpaceshipGenerator,a1studmuffin,7400, https://github.com/a1studmuffin/SpaceshipGenerator
BlenderGIS,domlysz,6200, https://github.com/domlysz/BlenderGIS
Fyrox,FyroxEngine,6000, https://github.com/FyroxEngine/Fyrox
openscad,openscad,5500, https://github.com/openscad/openscad
model-viewer,google,5500, https://github.com/google/model-viewer
spritejs,spritejs,5200, https://github.com/spritejs/spritejs
webglstudio.js,jagenjo,4900, https://github.com/jagenjo/webglstudio.js
