Repository Name,Repository Username,Stars Received,Repository URL
free-programming-books-zh_CN,justjavac,102000, https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,87400, https://github.com/angular/angular
storybook,storybookjs,77900, https://github.com/storybookjs/storybook
33-js-concepts,leonardomso,55700, https://github.com/leonardomso/33-js-concepts
ionic-framework,ionic-team,48900, https://github.com/ionic-team/ionic-framework
prettier,prettier,45300, https://github.com/prettier/prettier
30-Days-Of-JavaScript,Asabeneh,34900, https://github.com/Asabeneh/30-Days-Of-JavaScript
sheetjs,SheetJS,32600, https://github.com/SheetJS/sheetjs
angular-cli,angular,26000, https://github.com/angular/angular-cli
components,angular,23400, https://github.com/angular/components
NativeScript,NativeScript,22400, https://github.com/NativeScript/NativeScript
javascript-testing-best-practices,goldbergyoni,21200, https://github.com/goldbergyoni/javascript-testing-best-practices
generator-jhipster,jhipster,20500, https://github.com/jhipster/generator-jhipster
rxdb,pubkey,19100, https://github.com/pubkey/rxdb
nx,nrwl,17100, https://github.com/nrwl/nx
bit,teambit,16500, https://github.com/teambit/bit
sweetalert2,sweetalert2,15700, https://github.com/sweetalert2/sweetalert2
javascript-interview-questions,sudheerj,15400, https://github.com/sudheerj/javascript-interview-questions
wails,wailsapp,15100, https://github.com/wailsapp/wails
codesandbox-client,codesandbox,12300, https://github.com/codesandbox/codesandbox-client
