Repository Name,Repository Username,Stars Received,Repository URL
gradle,gradle,14500, https://github.com/gradle/gradle
jib,GoogleContainerTools,12700, https://github.com/GoogleContainerTools/jib
AndroidDevTools,inferjay,7500, https://github.com/inferjay/AndroidDevTools
walle,Meituan-Dianping,6600, https://github.com/Meituan-Dianping/walle
android-showcase,igorwojda,5900, https://github.com/igorwojda/android-showcase
baritone,cabaletta,5500, https://github.com/cabaletta/baritone
hibernate-orm,hibernate,5400, https://github.com/hibernate/hibernate-orm
packer-ng-plugin,mcxiaoke,4800, https://github.com/mcxiaoke/packer-ng-plugin
android-tips-tricks,nisrulz,4700, https://github.com/nisrulz/android-tips-tricks
Robust,Meituan-Dianping,4300, https://github.com/Meituan-Dianping/Robust
dryrun,cesarferreira,3800, https://github.com/cesarferreira/dryrun
kotlin-dsl-samples,gradle,3700, https://github.com/gradle/kotlin-dsl-samples
spotless,diffplug,3400, https://github.com/diffplug/spotless
kotlin-examples,Kotlin,3200, https://github.com/Kotlin/kotlin-examples
dexcount-gradle-plugin,KeepSafe,3000, https://github.com/KeepSafe/dexcount-gradle-plugin
ByteX,bytedance,2900, https://github.com/bytedance/ByteX
VasDolly,Tencent,2800, https://github.com/Tencent/VasDolly
WorldEdit,EngineHub,2700, https://github.com/EngineHub/WorldEdit
T-MVP,north2016,2700, https://github.com/north2016/T-MVP
ArgusAPM,Qihoo360,2600, https://github.com/Qihoo360/ArgusAPM
