Repository Name,Repository Username,Stars Received,Repository URL
vg,GetStream,1300, https://github.com/GetStream/vg
swift-dependencies,pointfreeco,808, https://github.com/pointfreeco/swift-dependencies
nve,ehmicky,611, https://github.com/ehmicky/nve
mozart,coenjacobs,371, https://github.com/coenjacobs/mozart
micropipenv,thoth-station,209, https://github.com/thoth-station/micropipenv
awesome-software-supply-chain-security,bureado,156, https://github.com/bureado/awesome-software-supply-chain-security
framework-info,netlify,130, https://github.com/netlify/framework-info
reproducible-research,aaronpeikert,118, https://github.com/aaronpeikert/reproducible-research
mosec-maven-plugin,momosecurity,90, https://github.com/momosecurity/mosec-maven-plugin
deps-report,pichillilorenzo,86, https://github.com/pichillilorenzo/deps-report
updates,silverwind,83, https://github.com/silverwind/updates
asap,abdes,79, https://github.com/abdes/asap
bnd-platform,stempler,79, https://github.com/stempler/bnd-platform
pip-license-checker,pilosus,61, https://github.com/pilosus/pip-license-checker
github-actions-version-updater,saadmk11,55, https://github.com/saadmk11/github-actions-version-updater
Blogfy,Zlagi,54, https://github.com/Zlagi/Blogfy
swift-package-dependencies-check,MarcoEidinger,51, https://github.com/MarcoEidinger/swift-package-dependencies-check
graphdot,ewohltman,50, https://github.com/ewohltman/graphdot
gradle-upgrade-interactive,kevcodez,49, https://github.com/kevcodez/gradle-upgrade-interactive
depscloud,depscloud,43, https://github.com/depscloud/depscloud
