Repository Name,Repository Username,Stars Received,Repository URL
Blog,ljianshu,7500, https://github.com/ljianshu/Blog
infinite-scroll,metafizzy,7200, https://github.com/metafizzy/infinite-scroll
unfetch,developit,5500, https://github.com/developit/unfetch
tabulator,olifolkerd,5300, https://github.com/olifolkerd/tabulator
form,jquery-form,5200, https://github.com/jquery-form/form
elFinder,Studio-42,4400, https://github.com/Studio-42/elFinder
wretch,elbywan,3800, https://github.com/elbywan/wretch
learn-to-send-email-via-google-script-html-no-server,dwyl,3000, https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
reqwest,ded,2900, https://github.com/ded/reqwest
bliss,LeaVerou,2400, https://github.com/LeaVerou/bliss
ajax-hook,wendux,2300, https://github.com/wendux/ajax-hook
featherlight,noelboss,2100, https://github.com/noelboss/featherlight
jquery-confirm,craftpip,1800, https://github.com/craftpip/jquery-confirm
sente,ptaoussanis,1700, https://github.com/ptaoussanis/sente
tracy,nette,1600, https://github.com/nette/tracy
Enterprise,joaomilho,1600, https://github.com/joaomilho/Enterprise
css-spinner,loadingio,1500, https://github.com/loadingio/css-spinner
tsrpc,k8w,1500, https://github.com/k8w/tsrpc
eCommerce,codingforentrepreneurs,1400, https://github.com/codingforentrepreneurs/eCommerce
jeeplatform,u014427391,1400, https://github.com/u014427391/jeeplatform
