Repository Name,Repository Username,Stars Received,Repository URL
focalboard,mattermost,14900, https://github.com/mattermost/focalboard
erpnext,frappe,13200, https://github.com/frappe/erpnext
kanboard,kanboard,7100, https://github.com/kanboard/kanboard
openproject,opf,6700, https://github.com/opf/openproject
projectile,bbatsov,3800, https://github.com/bbatsov/projectile
taskcafe,JordanKnott,3700, https://github.com/JordanKnott/taskcafe
taiga-front,taigaio,3500, https://github.com/taigaio/taiga-front
dootask,kuaifan,3400, https://github.com/kuaifan/dootask
awesome-project,gdcmarinho,2700, https://github.com/gdcmarinho/awesome-project
bolt,boltpkg,2300, https://github.com/boltpkg/bolt
organice,200ok-ch,2100, https://github.com/200ok-ch/organice
leantime,Leantime,2100, https://github.com/Leantime/leantime
CommunityServer,ONLYOFFICE,2000, https://github.com/ONLYOFFICE/CommunityServer
actionview,lxerxa,1800, https://github.com/lxerxa/actionview
dephell,dephell,1800, https://github.com/dephell/dephell
pearProject,a54552239,1700, https://github.com/a54552239/pearProject
awesome-engineering-management,engineering-management,1600, https://github.com/engineering-management/awesome-engineering-management
vscode-project-manager,alefragnani,1600, https://github.com/alefragnani/vscode-project-manager
freeplane,freeplane,1500, https://github.com/freeplane/freeplane
awesome-engineering-team-management,kdeldycke,1400, https://github.com/kdeldycke/awesome-engineering-team-management
