Repository Name,Repository Username,Stars Received,Repository URL
PRMLT,PRML,5800, https://github.com/PRML/PRMLT
MathModel,zhanwen,5500, https://github.com/zhanwen/MathModel
Realtime_Multi-Person_Pose_Estimation,ZheC,5000, https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation
a32nx,flybywiresim,4600, https://github.com/flybywiresim/a32nx
Lenia,Chakazul,3100, https://github.com/Chakazul/Lenia
Bilibili-plus,ZachL1,3100, https://github.com/ZachL1/Bilibili-plus
Math_Model,personqianduixue,1900, https://github.com/personqianduixue/Math_Model
arl,kaxap,1800, https://github.com/kaxap/arl
Algorithms_MathModels,HuangCongQing,1700, https://github.com/HuangCongQing/Algorithms_MathModels
matlab2tikz,matlab2tikz,1300, https://github.com/matlab2tikz/matlab2tikz
casadi,casadi,1200, https://github.com/casadi/casadi
probabilistic_robotics,pptacher,1100, https://github.com/pptacher/probabilistic_robotics
matlab-schemer,scottclowe,1000, https://github.com/scottclowe/matlab-schemer
awesome-neuroscience,analyticalmonk,1000, https://github.com/analyticalmonk/awesome-neuroscience
robotics-toolbox-matlab,petercorke,1000, https://github.com/petercorke/robotics-toolbox-matlab
PlatEMO,BIMK,1000, https://github.com/BIMK/PlatEMO
facerec,bytefish,943, https://github.com/bytefish/facerec
jsbsim,JSBSim-Team,869, https://github.com/JSBSim-Team/jsbsim
Image-feature-detection-using-Phase-Stretch-Transform,JalaliLabUCLA,833, https://github.com/JalaliLabUCLA/Image-feature-detection-using-Phase-Stretch-Transform
SuiteSparse,DrTimothyAldenDavis,790, https://github.com/DrTimothyAldenDavis/SuiteSparse
