Repository Name,Repository Username,Stars Received,Repository URL
ohmyzsh,ohmyzsh,157000, https://github.com/ohmyzsh/ohmyzsh
fzf,junegunn,51500, https://github.com/junegunn/fzf
bat,sharkdp,40600, https://github.com/sharkdp/bat
sherlock,sherlock-project,40200, https://github.com/sherlock-project/sherlock
ripgrep,BurntSushi,37100, https://github.com/BurntSushi/ripgrep
zx,google,37000, https://github.com/google/zx
dive,wagoodman,36400, https://github.com/wagoodman/dive
cheat.sh,chubin,35000, https://github.com/chubin/cheat.sh
lazygit,jesseduffield,33900, https://github.com/jesseduffield/lazygit
cli,cli,31900, https://github.com/cli/cli
cobra,spf13,31400, https://github.com/spf13/cobra
n8n,n8n-io,29300, https://github.com/n8n-io/n8n
httpie,httpie,27200, https://github.com/httpie/httpie
awesome-shell,alebcay,27100, https://github.com/alebcay/awesome-shell
fd,sharkdp,27000, https://github.com/sharkdp/fd
modern-unix,ibraheemdev,26400, https://github.com/ibraheemdev/modern-unix
angular-cli,angular,26000, https://github.com/angular/angular-cli
tqdm,tqdm,24400, https://github.com/tqdm/tqdm
python-fire,google,24300, https://github.com/google/python-fire
ChatGPT,acheong08,23400, https://github.com/acheong08/ChatGPT
