Repository Name,Repository Username,Stars Received,Repository URL
public-apis,public-apis,235000, https://github.com/public-apis/public-apis
neovim,neovim,64599, https://github.com/neovim/neovim
fastapi,tiangolo,56500, https://github.com/tiangolo/fastapi
strapi,strapi,53000, https://github.com/strapi/strapi
hoppscotch,hoppscotch,50800, https://github.com/hoppscotch/hoppscotch
imgui,ocornut,46600, https://github.com/ocornut/imgui
meilisearch,meilisearch,35600, https://github.com/meilisearch/meilisearch
slate,slatedocs,35100, https://github.com/slatedocs/slate
graphql-engine,hasura,29500, https://github.com/hasura/graphql-engine
ccxt,ccxt,27800, https://github.com/ccxt/ccxt
NeteaseCloudMusicApi,Binaryify,27600, https://github.com/Binaryify/NeteaseCloudMusicApi
insomnia,Kong,27500, https://github.com/Kong/insomnia
httpie,httpie,27200, https://github.com/httpie/httpie
yapi,YMFE,25900, https://github.com/YMFE/yapi
django-rest-framework,encode,25300, https://github.com/encode/django-rest-framework
trpc,trpc,24000, https://github.com/trpc/trpc
ItChat,littlecodersh,23600, https://github.com/littlecodersh/ItChat
api-guidelines,microsoft,21200, https://github.com/microsoft/api-guidelines
normalizr,paularmstrong,21000, https://github.com/paularmstrong/normalizr
directus,directus,20900, https://github.com/directus/directus
