Repository Name,Repository Username,Stars Received,Repository URL
interview,huihut,28500, https://github.com/huihut/interview
serenity,SerenityOS,24400, https://github.com/SerenityOS/serenity
HarmonyOS,Awesome-HarmonyOS,18700, https://github.com/Awesome-HarmonyOS/HarmonyOS
redox,redox-os,14400, https://github.com/redox-os/redox
reactos,reactos,12200, https://github.com/reactos/reactos
raspberry-pi-os,s-matyukevich,12100, https://github.com/s-matyukevich/raspberry-pi-os
blog_os,phil-opp,11900, https://github.com/phil-opp/blog_os
rust-raspberrypi-OS-tutorials,rust-embedded,10800, https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
os01,tuhdo,10700, https://github.com/tuhdo/os01
The-Complete-FAANG-Preparation,AkashSingh3031,8900, https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
Waking-Up,wolverinn,8700, https://github.com/wolverinn/Waking-Up
lowlevelprogramming-university,gurugio,8300, https://github.com/gurugio/lowlevelprogramming-university
bottlerocket,bottlerocket-os,7300, https://github.com/bottlerocket-os/bottlerocket
NodeOS,NodeOS,6800, https://github.com/NodeOS/NodeOS
toaruos,klange,5500, https://github.com/klange/toaruos
30dayMakeOS,yourtion,5000, https://github.com/yourtion/30dayMakeOS
ravynos,ravynsoft,4900, https://github.com/ravynsoft/ravynos
IncludeOS,includeos,4700, https://github.com/includeos/IncludeOS
tock,tock,4300, https://github.com/tock/tock
oshi,oshi,3700, https://github.com/oshi/oshi
