Repository Name,Repository Username,Stars Received,Repository URL
storybook,storybookjs,77900, https://github.com/storybookjs/storybook
Ghost,TryGhost,42900, https://github.com/TryGhost/Ghost
discourse,discourse,37700, https://github.com/discourse/discourse
ember.js,emberjs,22400, https://github.com/emberjs/ember.js
text-mask,text-mask,8200, https://github.com/text-mask/text-mask
sentry-javascript,getsentry,7000, https://github.com/getsentry/sentry-javascript
sharedrop,szimek,6300, https://github.com/szimek/sharedrop
ember-cli,ember-cli,3300, https://github.com/ember-cli/ember-cli
data,emberjs,3000, https://github.com/emberjs/data
ember-simple-auth,mainmatter,1900, https://github.com/mainmatter/ember-simple-auth
zoid,krakenjs,1900, https://github.com/krakenjs/zoid
ember-table,Addepar,1700, https://github.com/Addepar/ember-table
awesome-grid,FancyGrid,1300, https://github.com/FancyGrid/awesome-grid
storefront-api-examples,Shopify,1100, https://github.com/Shopify/storefront-api-examples
ember-inspector,emberjs,959, https://github.com/emberjs/ember-inspector
ember-paper,miguelcobain,886, https://github.com/miguelcobain/ember-paper
ember-cli-mirage,miragejs,859, https://github.com/miragejs/ember-cli-mirage
ember-electron,adopted-ember-addons,807, https://github.com/adopted-ember-addons/ember-electron
rfcs,emberjs,778, https://github.com/emberjs/rfcs
component-party,matschik,703, https://github.com/matschik/component-party
