Repository Name,Repository Username,Stars Received,Repository URL
nerd-fonts,ryanoasis,42800, https://github.com/ryanoasis/nerd-fonts
awesome-stock-resources,neutraltone,11500, https://github.com/neutraltone/awesome-stock-resources
eva-icons,akveo,8500, https://github.com/akveo/eva-icons
RemixIcon,Remix-Design,5300, https://github.com/Remix-Design/RemixIcon
Android-Iconics,mikepenz,5100, https://github.com/mikepenz/Android-Iconics
fontmin,ecomfe,5100, https://github.com/ecomfe/fontmin
rplibs,refscn,2800, https://github.com/refscn/rplibs
boxicons,atisawd,2300, https://github.com/atisawd/boxicons
homepage,phosphor-icons,2100, https://github.com/phosphor-icons/homepage
sketch-iconfont,keremciu,2000, https://github.com/keremciu/sketch-iconfont
coreui-icons,coreui,1900, https://github.com/coreui/coreui-icons
Iconic,home-assistant,1600, https://github.com/home-assistant/Iconic
Fork-Awesome,ForkAwesome,1200, https://github.com/ForkAwesome/Fork-Awesome
GanK,dongjunkun,1200, https://github.com/dongjunkun/GanK
awesome-fonts,brabadu,1100, https://github.com/brabadu/awesome-fonts
awesome-icons,vkarampinis,1100, https://github.com/vkarampinis/awesome-icons
svg-icon,leungwensen,991, https://github.com/leungwensen/svg-icon
IconFontCppHeaders,juliettef,872, https://github.com/juliettef/IconFontCppHeaders
openwebicons,pfefferle,849, https://github.com/pfefferle/openwebicons
academicons,jpswalsh,709, https://github.com/jpswalsh/academicons
