Repository Name,Repository Username,Stars Received,Repository URL
erpnext,frappe,13200, https://github.com/frappe/erpnext
zammad,zammad,3300, https://github.com/zammad/zammad
helpy,helpyio,2300, https://github.com/helpyio/helpy
freescout,freescout-helpdesk,2000, https://github.com/freescout-helpdesk/freescout
django-helpdesk,django-helpdesk,1400, https://github.com/django-helpdesk/django-helpdesk
vue-beautiful-chat,mattmezza,1300, https://github.com/mattmezza/vue-beautiful-chat
handesk,BadChoice,1300, https://github.com/BadChoice/handesk
espocrm,espocrm,1100, https://github.com/espocrm/espocrm
trudesk,polonel,1000, https://github.com/polonel/trudesk
opensupports,opensupports,782, https://github.com/opensupports/opensupports
rt,bestpractical,730, https://github.com/bestpractical/rt
adblockfast,rocketshipapps,684, https://github.com/rocketshipapps/adblockfast
iOSDeviceSupport,fateshen,362, https://github.com/fateshen/iOSDeviceSupport
node-zendesk,blakmatrix,321, https://github.com/blakmatrix/node-zendesk
laravel-support-bubble,spatie,294, https://github.com/spatie/laravel-support-bubble
docs,system76,288, https://github.com/system76/docs
project-management,devaslanphp,258, https://github.com/devaslanphp/project-management
dynamic-support,pranavpandey,256, https://github.com/pranavpandey/dynamic-support
tokio-modbus,slowtec,250, https://github.com/slowtec/tokio-modbus
telegram-support-bot,ohld,222, https://github.com/ohld/telegram-support-bot
